"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Deck","Location","anrede"
"1","2","female",42,0,0,13,"S",NA,NA,"Mrs"
"1","2","female",27,1,0,13.8583,"C",NA,NA,"Miss"
"0","1","male",31,0,0,50.4958,"S","A","backbord","Mr"
"0","3","male",30,0,0,9.5,"S",NA,NA,"Mr"
"1","3","male",4,1,1,11.1333,"S",NA,NA,"Master"
"0","3","male",26,0,0,7.8958,"S",NA,NA,"Mr"
"1","1","female",47,1,1,52.5542,"S","D","steuerbord","Mrs"
"0","1","male",33,0,0,5,"S","B",NA,"Mr"
"0","3","male",47,0,0,9,"S",NA,NA,"Mr"
"1","2","female",28,1,0,24,"C",NA,NA,"Mrs"
"1","3","female",15,0,0,7.225,"C",NA,NA,"Miss"
"0","3","male",20,0,0,9.8458,"S",NA,NA,"Mr"
"0","3","male",19,0,0,7.8958,"S",NA,NA,"Mr"
"0","3","male",30,0,0,7.8958,"S",NA,NA,"Mr"
"1","1","female",56,0,1,83.1583,"C","C","backbord","Mrs"
"1","2","female",25,0,1,26,"S",NA,NA,"Mrs"
"0","3","male",33,0,0,7.8958,"S",NA,NA,"Mr"
"0","3","female",22,0,0,10.5167,"S",NA,NA,"Miss"
"0","2","male",28,0,0,10.5,"S",NA,NA,"Mr"
"0","3","male",25,0,0,7.05,"S",NA,NA,"Mr"
"0","3","female",39,0,5,29.125,"Q",NA,NA,"Mrs"
"0","2","male",27,0,0,13,"S",NA,NA,"Rev"
"1","1","female",19,0,0,30,"S","B","backbord","Miss"
"0","3","female",21,1,2,23.45,"S",NA,NA,"Miss"
"1","1","male",26,0,0,30,"C","C","backbord","Mr"
"0","3","male",32,0,0,7.75,"Q",NA,NA,"Mr"
